,battery_power,clock_speed,dual_sim,four_g,px_height,px_width,ram,talk_time,three_g,touch_screen,wifi,price_range,bluetooth,front_camera,memory,mobile_depth,mobile_weight,number_of_cores,camera_pixels,screen_height,screen_width
36,589,2.3,1,0.0,429,815,2113,2.0,1,0.0,1,0.0,1,1.0,61.0,,160,4,10.0,13,??
37,1725,1.6,1,1.0,609,1307,3429,4.0,1,1.0,0,1.0,1,6.0,6.0,0.5,119,2,18.0,6,5.0
38,790,,1,1.0,347,730,3169,,1,0.0,1,1.0,0,16.0,11.0,0.3,87,6,17.0,6,1.0
39,560,0.5,1,0.0,1448,1613,2150,11.0,1,1.0,0,1.0,0,15.0,50.0,0.3,159,2,20.0,18,12.0
40,1347,2.9,0,0.0,434,967,2484,11.0,1,0.0,1,1.0,0,5.0,44.0,0.6,132,1,14.0,18,2.0
41,1646,2.3,0,1.0,1725,1932,3339,,1,1.0,0,1.0,1,8.0,41.0,0.2,185,2,10.0,18,10.0
42,1253,0.5,1,1.0,685,714,1878,4.0,1,1.0,0,0.0,1,@,5.0,0.2,152,2,19.0,15,0.0
43,1656,1.0,0,1.0,880,1456,1629,14.0,1,1.0,0,0.0,0,5.0,34.0,0.1,166,3,7.0,15,12.0
44,1195,2.8,0,,1580,1652,504,12.0,1,1.0,0,0.0,1,1.0,20.0,0.8,110,2,14.0,9,3.0
45,1514,2.9,0,0.0,186,1810,1152,20.0,0,1.0,1,0.0,0,0.0,27.0,0.2,118,3,,8,
46,1723,1.1,1,0.0,202,1791,3587,3.0,1,0.0,0,1.0,1,1.0,42.0,1.0,164,8,14.0,10,
47,1054,1.8,1,1.0,27,774,2296,??,1,0.0,1,0.0,1,3.0,,0.8,196,7,10.0,16,12.0
48,578,2.6,1,1.0,1025,1433,1270,5.0,1,0.0,1,,1,2.0,,0.2,162,8,,15,3.0
49,596,2.1,1,0.0,885,1854,3238,10.0,0,0.0,0,,0,9.0,64.0,0.8,111,8,15.0,16,13.0
50,1547,3.0,1,1.0,1042,1832,2059,15.0,1,0.0,1,1.0,1,2.0,14.0,0.7,198,3,,5,0.0
51,1760,1.4,1,0.0,1382,1383,2053,16.0,0,1.0,0,1.0,0,#,63.0,0.8,127,8,19.0,19,12.0
52,1654,1.5,1,1.0,546,629,3112,10.0,1,1.0,0,1.0,1,0.0,43.0,0.3,109,2,0.0,12,5.0
53,1457,1.9,1,1.0,1013,1287,1440,12.0,1,0.0,1,0.0,0,1.0,16.0,0.3,102,3,10.0,17,
54,1073,0.5,1,,690,804,2908,_,0,1.0,0,1.0,1,0.0,51.0,0.5,145,7,0.0,6,0.0
55,1936,2.1,1,1.0,667,1036,2552,13.0,1,0.0,0,1.0,0,10.0,46.0,0.6,104,3,20.0,14,7.0
56,823,,1,0.0,822,1449,905,#,1,1.0,1,0.0,1,13.0,60.0,0.5,148,8,19.0,14,11.0
57,987,1.3,1,1.0,581,820,3963,20.0,1,0.0,1,1.0,0,,61.0,_,107,3,9.0,9,#
58,1757,0.5,0,0.0,265,713,2056,4.0,0,0.0,0,0.0,0,8.0,49.0,0.5,180,6,14.0,7,5.0
59,1063,1.4,1,1.0,127,683,2910,,1,1.0,1,,0,2.0,48.0,1.0,128,5,4.0,15,13.0
60,1484,3.0,0,0.0,916,969,1457,20.0,1,1.0,0,0.0,0,3.0,12.0,0.6,134,3,5.0,14,4.0
61,799,2.3,0,1.0,361,975,431,6.0,1,1.0,1,0.0,1,1.0,63.0,_,144,8,6.0,15,6.0
62,1156,,1,1.0,322,547,470,15.0,1,1.0,0,0.0,1,0.0,,0.8,159,2,0.0,7,0.0
63,1720,2.0,0,1.0,753,1353,2148,5.0,1,1.0,1,1.0,0,15.0,55.0,0.5,168,2,18.0,14,2.0
64,702,2.6,1,1.0,504,1570,2955,19.0,1,0.0,0,1.0,0,2.0,9.0,0.7,141,3,3.0,10,4.0
65,616,1.9,1,1.0,651,1618,3366,13.0,1,1.0,0,1.0,0,13.0,44.0,0.8,81,3,17.0,18,8.0
66,1358,0.5,0,1.0,1565,1858,3068,,1,1.0,0,,1,11.0,36.0,0.3,155,4,14.0,9,4.0
67,1866,1.4,0,0.0,108,1781,3834,8.0,0,0.0,0,1.0,0,N/A,30.0,0.5,182,3,0.0,16,11.0
68,1242,1.1,1,0.0,459,1225,1050,4.0,1,0.0,1,0.0,0,0.0,10.0,@,165,2,1.0,11,1.0
69,1166,1.5,1,1.0,205,603,3993,7.0,1,1.0,0,1.0,0,0.0,43.0,0.8,80,4,1.0,7,1.0
70,1448,0.5,1,1.0,570,1724,3378,2.0,1,1.0,1,1.0,1,6.0,45.0,0.8,138,7,11.0,13,11.0
71,1407,2.4,0,1.0,1172,1217,2192,13.0,1,0.0,1,1.0,1,1.0,22.0,0.7,104,4,4.0,9,7.0
72,605,1.0,0,1.0,160,1026,392,,1,0.0,0,0.0,0,8.0,,0.1,142,3,16.0,15,6.0
73,1038,1.2,0,0.0,4,638,3709,12.0,1,_,1,1.0,0,3.0,43.0,0.7,141,1,5.0,11,0.0
74,797,2.9,1,0.0,763,1413,590,6.0,0,1.0,0,0.0,1,4.0,38.0,0.5,90,4,6.0,9,2.0
75,819,0.6,1,1.0,339,1242,1814,13.0,1,0.0,1,0.0,0,8.0,42.0,0.9,188,6,20.0,5,4.0
76,1114,2.8,0,1.0,1040,1071,907,17.0,1,1.0,0,0.0,0,4.0,9.0,0.4,197,3,15.0,10,
77,1234,1.6,1,0.0,166,778,1449,6.0,0,0.0,1,0.0,1,1.0,33.0,N/A,172,1,3.0,11,7.0
78,1199,2.5,1,1.0,1168,1552,3448,10.0,1,??,1,1.0,1,15.0,16.0,0.2,116,4,20.0,17,13.0
79,1103,1.0,1,0.0,990,1486,1837,,0,1.0,1,0.0,0,6.0,29.0,0.7,111,6,8.0,8,7.0
80,1589,0.6,1,1.0,319,1206,3464,6.0,1,1.0,1,1.0,1,0.0,58.0,0.9,85,7,7.0,19,10.0
81,999,,1,1.0,1397,1616,2593,16.0,1,1.0,0,1.0,0,11.0,64.0,0.2,199,4,19.0,14,11.0
82,1510,,1,0.0,708,1752,3484,11.0,0,1.0,1,1.0,1,2.0,45.0,0.9,180,5,,9,6.0
83,1008,0.8,0,0.0,1077,1122,2009,11.0,1,,0,0.0,0,11.0,61.0,1.0,114,3,15.0,10,3.0
84,1127,2.9,1,1.0,928,1049,2048,@,1,1.0,1,0.0,1,5.0,57.0,0.8,163,1,13.0,11,5.0
85,1412,2.4,0,0.0,516,1894,837,4.0,0,0.0,1,0.0,1,5.0,25.0,0.8,96,8,17.0,15,9.0
86,1496,2.0,1,0.0,96,741,854,7.0,0,1.0,1,0.0,1,4.0,42.0,0.5,182,5,5.0,16,0.0
87,1083,2.9,1,1.0,1025,1118,3210,4.0,1,0.0,0,1.0,1,1.0,64.0,0.8,178,3,11.0,13,3.0
88,668,0.5,1,0.0,666,1203,2746,8.0,1,1.0,1,,0,0.0,3.0,0.1,155,5,13.0,9,5.0
89,1309,1.1,1,0.0,557,1402,2334,,1,0.0,1,1.0,0,0.0,33.0,0.5,100,4,14.0,10,1.0
90,1724,2.0,1,1.0,1605,1924,2822,_,1,1.0,0,1.0,0,2.0,57.0,0.5,177,3,5.0,19,3.0
91,1977,2.0,1,1.0,1226,1242,1971,N/A,1,1.0,0,1.0,1,7.0,54.0,1.0,171,7,18.0,18,7.0
92,885,2.3,1,N/A,769,802,1410,5.0,1,1.0,1,0.0,0,0.0,15.0,0.4,103,7,0.0,16,10.0
93,879,2.5,0,_,403,1105,349,2.0,1,,1,0.0,1,11.0,14.0,0.7,83,6,15.0,16,10.0
94,1322,1.7,1,0.0,177,1990,1418,12.0,0,1.0,0,0.0,0,,7.0,0.8,140,3,9.0,19,??
95,1137,1.0,0,0.0,942,1179,3616,12.0,1,1.0,1,1.0,1,18.0,7.0,1.0,196,3,19.0,13,5.0
96,1355,2.3,0,1.0,651,891,880,8.0,1,1.0,0,0.0,0,10.0,23.0,0.2,132,5,16.0,19,4.0
97,1665,N/A,0,,1572,1684,1601,14.0,1,0.0,0,1.0,1,3.0,60.0,0.2,194,6,18.0,18,17.0
98,657,2.5,0,0.0,476,961,1412,18.0,0,1.0,0,0.0,0,0.0,37.0,0.7,141,2,1.0,14,3.0
99,593,0.5,0,0.0,1233,1317,1692,7.0,1,0.0,0,0.0,0,6.0,31.0,0.4,156,7,7.0,6,2.0
100,1883,0.5,0,1.0,836,1739,2600,20.0,1,0.0,0,,1,N/A,10.0,0.3,146,6,13.0,16,8.0
101,1732,1.1,0,1.0,824,881,1308,,1,0.0,1,0.0,1,4.0,12.0,0.8,119,8,9.0,16,7.0
102,543,0.5,0,0.0,391,984,2413,N/A,1,0.0,0,0.0,0,0.0,57.0,,192,5,4.0,17,14.0
103,1939,2.8,1,,320,520,1047,18.0,1,1.0,0,0.0,1,,,0.6,199,4,10.0,14,10.0
104,553,2.4,1,1.0,325,902,1204,8.0,1,1.0,1,0.0,0,1.0,8.0,0.5,121,7,3.0,11,4.0
105,832,0.7,1,1.0,125,1504,1799,11.0,1,0.0,1,0.0,0,2.0,39.0,,103,4,3.0,5,2.0
106,1661,1.9,1,0.0,846,1634,2676,11.0,0,1.0,1,1.0,0,,23.0,1.0,172,5,10.0,12,6.0
107,1657,2.4,0,0.0,1770,1796,2597,@,1,0.0,0,1.0,1,3.0,42.0,0.1,198,5,16.0,18,1.0
108,1135,2.0,1,0.0,293,1846,3029,9.0,1,1.0,1,,1,0.0,46.0,@,83,1,4.0,19,17.0
109,1775,1.5,0,0.0,1633,1869,2343,14.0,1,1.0,1,1.0,1,3.0,41.0,0.1,163,1,7.0,19,13.0
110,783,1.8,1,1.0,1198,1471,2016,18.0,1,@,0,0.0,0,0.0,43.0,,106,3,4.0,16,
111,617,2.3,0,0.0,768,874,2213,7.0,0,0.0,0,0.0,1,0.0,32.0,0.5,199,7,20.0,18,13.0
112,867,1.4,1,1.0,70,1974,790,3.0,1,1.0,0,0.0,0,0.0,4.0,0.7,135,6,1.0,13,6.0
113,1310,1.1,1,0.0,117,513,3182,@,1,1.0,0,1.0,1,13.0,7.0,1.0,194,5,14.0,8,4.0
114,1804,0.5,0,1.0,1158,1244,3472,20.0,1,0.0,1,1.0,0,9.0,22.0,0.6,153,7,19.0,9,1.0
115,1900,2.3,0,1.0,1055,1661,2871,13.0,1,1.0,1,1.0,1,1.0,18.0,0.2,89,7,9.0,12,1.0
116,909,1.4,0,0.0,635,973,3187,4.0,1,0.0,0,,1,0.0,53.0,0.3,82,8,0.0,12,9.0
117,1084,2.6,0,1.0,322,771,1945,10.0,1,1.0,0,0.0,1,3.0,40.0,0.9,107,3,11.0,15,4.0
118,1308,1.3,1,0.0,275,989,488,9.0,0,1.0,0,0.0,0,8.0,46.0,0.9,199,1,12.0,5,3.0
119,1778,0.5,0,0.0,1445,1954,1214,14.0,1,N/A,0,0.0,0,0.0,15.0,0.5,102,3,0.0,5,0.0
120,1701,1.6,1,0.0,550,1338,2598,,0,,0,1.0,1,3.0,10.0,0.3,194,8,7.0,12,9.0
121,772,,1,1.0,1242,1712,3242,4.0,1,1.0,0,1.0,1,1.0,10.0,0.5,80,4,2.0,18,11.0
122,825,,1,0.0,597,863,3534,6.0,0,1.0,0,1.0,1,7.0,52.0,0.9,130,3,10.0,10,4.0
123,1379,,0,1.0,538,1376,3426,17.0,1,1.0,1,1.0,0,5.0,36.0,0.8,200,2,,5,4.0
124,1166,??,0,1.0,59,1203,2488,15.0,1,0.0,0,1.0,0,3.0,25.0,0.8,198,5,4.0,13,5.0
125,1659,2.8,0,0.0,819,902,3255,9.0,0,0.0,1,1.0,0,5.0,16.0,0.6,89,1,20.0,19,14.0
126,826,2.4,1,1.0,179,786,2863,18.0,1,0.0,1,1.0,1,0.0,58.0,0.3,88,4,1.0,9,3.0
127,1564,2.3,0,1.0,1259,1965,1496,7.0,1,1.0,1,0.0,0,4.0,25.0,0.5,189,6,17.0,6,4.0
128,1957,0.9,1,0.0,396,1732,3801,7.0,1,0.0,1,1.0,0,11.0,31.0,0.6,181,3,#,12,0.0
129,1571,1.4,0,1.0,713,1398,666,13.0,1,1.0,0,0.0,0,0.0,19.0,0.1,100,6,1.0,12,10.0
130,1414,2.0,1,0.0,262,829,3799,7.0,1,0.0,1,1.0,0,2.0,54.0,,99,7,3.0,17,7.0
131,1790,2.5,1,0.0,622,792,1366,20.0,1,1.0,1,0.0,0,9.0,2.0,0.1,184,1,14.0,7,0.0
132,645,N/A,0,0.0,327,580,2962,4.0,1,1.0,1,1.0,0,1.0,41.0,1.0,197,7,10.0,12,9.0
133,668,2.9,1,0.0,522,1056,2399,7.0,1,1.0,1,0.0,0,7.0,30.0,0.2,195,8,12.0,10,5.0
134,1652,1.1,1,0.0,313,1264,2338,20.0,0,0.0,0,1.0,1,1.0,36.0,0.7,89,4,5.0,12,8.0
135,1213,0.5,0,0.0,226,1248,2700,9.0,0,_,1,,1,0.0,16.0,0.5,108,5,0.0,12,3.0
136,1272,??,1,0.0,605,669,2235,4.0,1,0.0,0,0.0,1,0.0,22.0,0.9,133,6,8.0,19,4.0
137,866,0.5,1,1.0,692,1686,3825,2.0,1,1.0,1,1.0,0,5.0,46.0,0.5,179,8,7.0,12,11.0
138,536,2.4,1,1.0,1386,1539,284,4.0,1,1.0,0,0.0,0,12.0,_,0.3,182,7,14.0,12,9.0
139,523,2.6,1,,304,1042,1427,9.0,0,1.0,0,0.0,0,1.0,14.0,0.1,155,8,2.0,9,1.0
140,1753,0.5,1,1.0,1590,1926,1324,17.0,1,0.0,1,N/A,0,0.0,#,0.1,134,1,18.0,17,0.0
141,1218,1.8,1,1.0,229,616,398,,1,0.0,0,0.0,0,1.0,14.0,0.5,147,3,4.0,17,0.0
142,1537,2.5,0,1.0,839,1131,3685,17.0,1,1.0,1,@,1,4.0,43.0,0.3,137,1,5.0,18,17.0
143,786,2.2,1,0.0,507,1697,2390,5.0,1,0.0,1,1.0,0,0.0,33.0,0.5,141,7,6.0,12,11.0
144,1678,2.1,0,1.0,436,536,278,10.0,1,1.0,0,0.0,0,3.0,64.0,0.9,134,3,_,19,0.0
145,1814,1.4,1,1.0,756,786,3556,16.0,1,0.0,0,1.0,0,1.0,9.0,0.4,141,2,2.0,18,12.0
146,1101,1.8,0,0.0,387,1269,2196,19.0,0,1.0,1,0.0,0,0.0,31.0,0.2,148,2,7.0,12,6.0
147,1461,N/A,1,1.0,1265,1298,3799,,1,0.0,0,1.0,0,3.0,40.0,0.5,141,7,4.0,16,1.0
148,1216,3.0,0,0.0,1852,1967,2268,4.0,0,1.0,1,1.0,0,4.0,47.0,,199,3,7.0,13,5.0
149,506,1.6,0,1.0,875,1025,2965,15.0,1,0.0,0,1.0,0,6.0,41.0,0.8,159,1,7.0,13,10.0
150,843,0.5,0,1.0,140,800,2341,20.0,1,1.0,1,0.0,1,1.0,,0.1,147,5,17.0,10,1.0
151,742,2.2,1,0.0,577,1359,3557,12.0,0,1.0,1,1.0,0,4.0,56.0,0.2,190,7,,16,11.0
152,1692,2.1,0,1.0,975,1996,1354,19.0,1,0.0,0,0.0,1,3.0,61.0,0.9,176,6,,16,7.0
153,1485,1.0,0,1.0,510,1013,2147,@,1,1.0,0,1.0,0,2.0,32.0,0.7,84,2,9.0,19,1.0
154,1547,2.9,1,0.0,583,590,505,3.0,0,1.0,1,0.0,0,6.0,45.0,0.7,166,2,8.0,12,2.0
155,1692,2.3,1,1.0,674,1925,1394,6.0,1,1.0,0,0.0,0,4.0,46.0,0.9,139,1,6.0,16,10.0
156,637,2.3,0,1.0,1125,1989,374,,1,0.0,1,0.0,0,3.0,60.0,0.8,97,4,4.0,18,4.0
157,1224,0.5,0,1.0,747,826,506,11.0,1,1.0,1,0.0,0,16.0,6.0,,109,6,18.0,10,0.0
158,1356,2.8,0,@,1612,1983,3702,19.0,0,0.0,0,1.0,0,0.0,29.0,0.5,198,6,0.0,17,0.0
159,1840,0.5,1,0.0,311,1545,1078,10.0,0,0.0,0,0.0,0,12.0,34.0,0.7,142,1,16.0,8,0.0
160,1481,0.7,1,1.0,116,1533,2945,16.0,1,1.0,1,1.0,1,4.0,37.0,0.6,96,5,13.0,10,5.0
161,961,??,1,0.0,554,621,2981,7.0,1,1.0,1,1.0,1,10.0,51.0,0.3,152,6,16.0,15,6.0
162,1296,0.9,1,1.0,811,1272,490,4.0,1,1.0,1,0.0,0,0.0,14.0,0.5,124,5,3.0,7,1.0
163,1193,0.9,0,0.0,730,1729,536,4.0,1,0.0,1,0.0,0,,26.0,0.5,166,1,20.0,17,14.0
164,1441,2.1,1,1.0,577,1071,2317,7.0,1,0.0,1,1.0,0,11.0,3.0,0.1,118,8,17.0,16,#
165,517,1.4,1,1.0,660,974,3704,11.0,1,0.0,1,1.0,0,3.0,33.0,0.8,183,4,8.0,17,16.0
166,748,1.7,0,1.0,450,1554,2126,7.0,1,0.0,0,0.0,1,0.0,27.0,,150,8,4.0,18,9.0
167,1126,2.4,0,1.0,1223,1611,2050,12.0,1,1.0,1,1.0,1,2.0,10.0,0.4,160,6,3.0,7,6.0
168,1572,0.6,0,1.0,1109,1937,2462,@,1,0.0,0,1.0,0,0.0,58.0,0.2,157,7,8.0,12,
169,1569,2.8,1,0.0,45,1942,1260,17.0,1,0.0,0,,0,17.0,44.0,0.3,110,4,20.0,9,2.0
170,1270,0.6,1,1.0,299,845,3770,13.0,1,1.0,0,1.0,1,2.0,32.0,0.5,101,7,6.0,5,3.0
171,1854,3.0,0,1.0,506,627,1886,20.0,1,1.0,0,0.0,0,2.0,8.0,0.1,101,5,5.0,17,4.0
172,625,,1,1.0,635,842,3323,7.0,1,1.0,1,1.0,1,5.0,10.0,0.2,183,4,8.0,9,1.0
173,1577,0.5,1,1.0,1045,1737,2060,12.0,1,0.0,0,1.0,0,0.0,42.0,,197,5,4.0,19,??
174,534,0.5,1,1.0,393,1199,3926,20.0,1,0.0,0,1.0,0,0.0,16.0,1.0,189,5,1.0,16,12.0
175,946,1.7,1,1.0,650,1740,2177,13.0,1,1.0,1,1.0,0,8.0,25.0,0.8,143,6,15.0,7,5.0
176,685,0.5,0,0.0,433,648,728,4.0,0,0.0,1,0.0,0,2.0,,0.8,93,7,@,14,8.0
177,1949,1.3,1,0.0,839,1136,2478,20.0,1,0.0,0,1.0,0,0.0,23.0,,101,5,1.0,14,8.0
178,947,0.8,1,1.0,1176,1220,2842,2.0,1,0.0,0,1.0,0,0.0,22.0,0.1,197,2,13.0,16,12.0
179,801,2.2,1,0.0,650,879,1617,19.0,0,0.0,1,0.0,1,2.0,63.0,0.4,165,7,4.0,17,4.0
180,703,2.7,0,1.0,218,1065,1472,7.0,1,0.0,0,0.0,1,12.0,30.0,0.3,113,1,20.0,14,7.0
181,1165,2.4,0,0.0,564,831,764,15.0,1,0.0,0,0.0,1,11.0,41.0,0.2,178,6,12.0,19,12.0
182,1082,0.8,0,0.0,986,1191,2337,17.0,0,1.0,1,1.0,0,0.0,38.0,0.1,198,8,5.0,6,1.0
183,959,2.6,1,0.0,561,1631,3965,6.0,1,0.0,0,1.0,1,15.0,20.0,1.0,84,4,,16,1.0
184,1502,1.2,0,0.0,65,588,3693,16.0,1,1.0,0,1.0,1,0.0,54.0,0.2,138,5,12.0,17,14.0
185,1380,2.1,1,1.0,420,500,797,15.0,1,1.0,0,0.0,1,1.0,4.0,0.8,92,3,,13,2.0
186,1266,0.5,0,1.0,1365,1698,1687,18.0,1,,0,1.0,0,0.0,,0.1,95,6,9.0,11,0.0
187,1934,2.6,1,1.0,619,1299,2940,2.0,1,1.0,1,,1,0.0,46.0,,103,1,17.0,13,9.0
188,1905,0.5,0,1.0,849,898,1545,10.0,1,1.0,0,0.0,1,3.0,6.0,0.5,151,1,,9,5.0
189,1831,1.4,1,0.0,611,1381,3834,13.0,1,1.0,1,1.0,0,2.0,43.0,0.9,150,5,5.0,17,7.0
190,596,1.4,0,0.0,953,984,2505,15.0,1,1.0,0,0.0,0,8.0,46.0,0.6,165,1,18.0,15,4.0
191,1562,??,1,1.0,642,1533,2243,6.0,1,0.0,0,1.0,1,1.0,7.0,0.2,190,5,,12,10.0
192,1490,0.5,1,1.0,1417,1464,3600,7.0,1,1.0,1,1.0,1,4.0,64.0,0.3,150,8,8.0,17,9.0
193,1523,2.4,0,1.0,247,539,3971,10.0,1,1.0,1,1.0,1,5.0,57.0,0.2,117,2,6.0,18,12.0
194,640,0.6,0,,710,1179,2844,#,1,1.0,0,1.0,0,0.0,20.0,0.1,163,4,15.0,7,5.0
195,1526,2.1,0,1.0,718,751,2227,3.0,1,1.0,0,1.0,0,1.0,23.0,0.2,117,7,8.0,18,10.0
196,1989,2.5,1,1.0,1100,1497,1665,12.0,1,1.0,1,1.0,0,_,41.0,0.8,94,3,13.0,17,9.0
197,1308,1.9,0,1.0,59,1215,3355,4.0,1,0.0,1,1.0,0,0.0,61.0,0.7,106,3,7.0,15,2.0
198,609,0.5,0,0.0,938,1948,1866,14.0,1,1.0,1,0.0,0,3.0,26.0,0.3,93,4,4.0,11,10.0
199,1905,0.6,1,1.0,825,1542,1287,16.0,1,0.0,0,0.0,0,9.0,36.0,0.4,119,3,20.0,13,4.0
200,1703,0.5,0,1.0,286,1235,1046,13.0,1,0.0,1,0.0,1,0.0,22.0,0.6,192,1,0.0,5,4.0
201,1445,2.4,1,1.0,1273,1345,1441,13.0,1,1.0,1,0.0,1,7.0,20.0,_,173,7,15.0,7,4.0
202,1087,1.3,0,1.0,295,589,690,6.0,1,0.0,1,@,0,0.0,16.0,0.3,166,3,9.0,14,6.0
203,671,0.9,1,0.0,852,1182,2504,15.0,1,0.0,0,1.0,0,10.0,30.0,0.7,105,7,17.0,6,4.0
204,1472,2.3,0,0.0,710,1052,2677,8.0,1,0.0,0,,1,6.0,61.0,0.1,168,6,19.0,19,15.0
205,765,0.5,1,1.0,1277,1429,2243,4.0,1,0.0,1,1.0,0,0.0,47.0,0.3,115,8,??,11,7.0
206,1642,0.5,1,1.0,129,873,2984,_,1,0.0,1,1.0,0,16.0,8.0,0.3,171,6,17.0,13,4.0
207,1265,1.5,0,0.0,690,836,1362,12.0,0,0.0,1,0.0,0,7.0,49.0,0.7,182,5,16.0,5,0.0
208,664,1.1,1,,701,1478,3629,6.0,1,1.0,1,,1,1.0,51.0,0.1,110,7,4.0,19,15.0
209,1277,,1,1.0,309,1460,3559,6.0,1,1.0,0,1.0,1,0.0,,0.4,142,6,6.0,18,17.0
210,1395,1.8,1,0.0,213,705,2571,13.0,1,0.0,1,1.0,0,0.0,,0.1,111,3,1.0,11,0.0
211,1539,2.6,0,0.0,1112,1666,2107,10.0,1,,1,,1,0.0,41.0,0.1,159,8,0.0,15,
212,1049,@,0,0.0,199,1077,1022,13.0,0,0.0,0,0.0,1,9.0,63.0,0.5,135,5,17.0,11,3.0
